"Ranking","State","Adherents","Percent"
25,"Alabama",22480,0.51
9,"Alaska",19411,3.10
5,"Arizona",253967,4.95
21,"Arkansas",16108,0.60
13,"California",535712,1.58
12,"Colorado",94479,2.20
35,"Connecticut",9859,0.29
31,"Delaware",2948,0.38
40,"District Of Columbia",823,0.14
27,"Florida",78358,0.49
23,"Georgia",44471,0.54
7,"Hawaii",43644,3.60
2,"Idaho",312202,24.13
34,"Illinois",40254,0.32
27,"Indiana",29512,0.49
19,"Iowa",21373,0.73
16,"Kansas",24525,0.91
28,"Kentucky",18349,0.45
32,"Louisiana",16592,0.37
20,"Maine",7897,0.62
26,"Maryland",26301,0.50
36,"Massachusetts",16854,0.27
29,"Michigan",43669,0.44
30,"Minnesota",20717,0.42
26,"Mississippi",14166,0.50
14,"Missouri",61067,1.09
6,"Montana",33144,3.67
15,"Nebraska",16510,0.96
4,"Nevada",117443,5.88
25,"New Hampshire",6354,0.51
38,"New Jersey",20161,0.24
11,"New Mexico",42672,2.35
38,"New York",45453,0.24
25,"North Carolina",41319,0.51
21,"North Dakota",3850,0.60
31,"Ohio",42860,0.38
17,"Oklahoma",27499,0.80
8,"Oregon",106506,3.11
37,"Pennsylvania",32468,0.26
39,"Rhode Island",2421,0.23
24,"South Carolina",20682,0.52
17,"South Dakota",6037,0.80
29,"Tennessee",25122,0.44
18,"Texas",158268,0.76
1,"Utah",1484071,66.46
26,"Vermont",3046,0.50
18,"Virginia",53870,0.76
10,"Washington",181864,3.09
22,"West Virginia",10474,0.58
33,"Wisconsin",17680,0.33
3,"Wyoming",47388,9.60
